Username,Handle,Timestamp,Comments,Responding,Text,Reply,Retweet,Likes
S.P.O.T.S,@SPOTS42743819,2019-08-15T18:40:00.000Z,"Does rhino horn really work? Unsurprisingly, there is no scientific evidence to support the idea of rhino horn having aphrodisiac powers. Rhino horn is primarily made of keratin, the protein that also makes up hair and nails. #savetherhino #poaching #conservation",1,"Does rhino horn really work? Unsurprisingly, there is no scientific evidence to support the idea of rhino horn having aphrodisiac powers. Rhino horn is primarily made of keratin, the protein that also makes up hair and nails. #savetherhino #poaching #conservation1",,,1
ITD Print Solutions,@itd_print,2019-08-13T17:26:08.000Z,"Email us today at sales@itdprintsolutions.com and start saving on the printer ink and toner you use most!  What's your cost-per-page? #womanowned
#rhinotek
#savetherhino
#savemoney
#compatibletoner
#oemtoner
#inkjet
#jumbotoner
#printercartridge
#itdprintsolutions
#costperpage",,"Email us today at sales@itdprintsolutions.com and start saving on the printer ink and toner you use most!  What's your cost-per-page? #womanowned
#rhinotek
#savetherhino
#savemoney
#compatibletoner
#oemtoner
#inkjet
#jumbotoner
#printercartridge
#itdprintsolutions
#costperpage",,,
Thaba Lodge Black Rhino Reserve,@ThabaLodge,2019-08-13T16:57:40.000Z,"We are proud of 
@SPOTS42743819
 Project Air Ranger in Pilanesberg who together with the ground anti poaching units are protecting our rhinos in Pilanesberg with their UAV. Please support 
@SPOTS42743819
 to keep their UAV flying #savetherhino #technology #UAV","Quote Tweet
S.P.O.T.S
@SPOTS42743819
·
Aug 12, 2019
1. This past full moon cycle proved to be very successful for Project Air Ranger in Pilanesberg. Over this full moon period, Air Ranger flew reconnaissance sorties totaling approximately 40 hours. There were 2 intercepts. There was no successful rhino poaching. Continued...","We are proud of 
@SPOTS42743819
 Project Air Ranger in Pilanesberg who together with the ground anti poaching units are protecting our rhinos in Pilanesberg with their UAV. Please support 
@SPOTS42743819
 to keep their UAV flying #savetherhino #technology #UAVQuote Tweet
S.P.O.T.S
@SPOTS42743819
·
Aug 12, 2019
1. This past full moon cycle proved to be very successful for Project Air Ranger in Pilanesberg. Over this full moon period, Air Ranger flew reconnaissance sorties totaling approximately 40 hours. There were 2 intercepts. There was no successful rhino poaching. Continued...",,,
Manuela Costa,@ManuelaXana,2019-08-13T16:07:15.000Z,"Walking Safari em @matobonationalpark looking for the Rhino's 
#zimbabwe #matobonationalpark #savetherhino em Matobo National Park https://instagram.com/p/B1HCKOnn-7C/?igshid=v9pp8rk34nal…",,"Walking Safari em @matobonationalpark looking for the Rhino's 
#zimbabwe #matobonationalpark #savetherhino em Matobo National Park https://instagram.com/p/B1HCKOnn-7C/?igshid=v9pp8rk34nal…",,,
The Boucher Legacy,@BoucherLegacy,2019-08-13T14:00:35.000Z,"Founded in 2012 by Mark Boucher, The Boucher Legacy aims to protect our rhinos, pangolin and other dwindling species from extinction. Find out more on our website. 
#SaveTheRhino #SaveThePangolin #StopPoaching 
@markb46
 

  : 
@WildconEvents
 http://bit.ly/2Pzkmj3",,"Founded in 2012 by Mark Boucher, The Boucher Legacy aims to protect our rhinos, pangolin and other dwindling species from extinction. Find out more on our website. 
#SaveTheRhino #SaveThePangolin #StopPoaching 
@markb46
 

  : 
@WildconEvents
 http://bit.ly/2Pzkmj3",,1.0,5
Alison Singleton,@singleton_al,2019-08-13T13:56:48.000Z,"This wonderful creature may be extinct in 20 years #savetherhino 
@EdinburghZoo",,"This wonderful creature may be extinct in 20 years #savetherhino 
@EdinburghZoo",,,4
Christopher Ahlfeldt,@AfricaEnergyPro,2019-08-13T11:06:01.000Z,"Rhino impact bond planned to promote #conservation will test debt market's effectiveness at helping the endangered black rhino populations in Africa #ImpInv #impactinvesting #ImpactBonds #BlackRhino #savetherhino 
@savetherhino
 https://fin24.com/Companies/Financial-Services/rhinos-come-to-the-bond-market-and-other-species-may-follow-20190718…",,"Rhino impact bond planned to promote #conservation will test debt market's effectiveness at helping the endangered black rhino populations in Africa #ImpInv #impactinvesting #ImpactBonds #BlackRhino #savetherhino 
@savetherhino
 https://fin24.com/Companies/Financial-Services/rhinos-come-to-the-bond-market-and-other-species-may-follow-20190718…",,,4
Llanishen Sailing,@LlanishenSailin,2019-08-12T21:53:41.000Z,#careforwildrhinosanctuary #rehabilitate #babyrhino #orphanedrhinos #animallove #cuteaninals #wildlifeonearth #rhinos #rhinoconservation #savetherhino #adoptivemom #animalcaretakers #loveanimals #iloverhinos,"facebook.com
Care for Wild Rhino Sanctuary on Facebook Watch
45K views, 632 likes, 669 loves, 114 comments, 1.4K shares, Facebook Watch Videos from Care for Wild Rhino Sanctuary: It’s bed time in the nursery at Care for Wild Rhino Sanctuary. Our orphans have...","#careforwildrhinosanctuary #rehabilitate #babyrhino #orphanedrhinos #animallove #cuteaninals #wildlifeonearth #rhinos #rhinoconservation #savetherhino #adoptivemom #animalcaretakers #loveanimals #iloverhinosfacebook.com
Care for Wild Rhino Sanctuary on Facebook Watch
45K views, 632 likes, 669 loves, 114 comments, 1.4K shares, Facebook Watch Videos from Care for Wild Rhino Sanctuary: It’s bed time in the nursery at Care for Wild Rhino Sanctuary. Our orphans have...",,,1
Bill Markham,@billmarkham99,2019-08-12T20:00:28.000Z,This gorgeous young rhino masks a sorry story. Its mother has lost an eye to a poacher’s gun... and has been dehorned to make her a less attractive target second time round. It’s a testimony to her protectors that she’s been able to procreate. #savetherhino,,This gorgeous young rhino masks a sorry story. Its mother has lost an eye to a poacher’s gun... and has been dehorned to make her a less attractive target second time round. It’s a testimony to her protectors that she’s been able to procreate. #savetherhino,,1.0,2
Elite Spirits,@EliteSpiritsDel,2019-08-09T08:09:55.000Z,"Explore the Royal Rhino African Cream Liqueur's unique flavor as you raise your glass to protect and honor the rhino! @Royal_Rhino 
#elitespirits #royalrhinocreams #creamliquor #vanilla #coffee #liquorprofile #delhigram #delhiwines #rhinopreservation #savetherhino #coffeeliquor",,"Explore the Royal Rhino African Cream Liqueur's unique flavor as you raise your glass to protect and honor the rhino! @Royal_Rhino 
#elitespirits #royalrhinocreams #creamliquor #vanilla #coffee #liquorprofile #delhigram #delhiwines #rhinopreservation #savetherhino #coffeeliquor",,,
ITD Print Solutions,@itd_print,2019-08-08T17:23:30.000Z,"What's your cost-per-page?  Email us today at sales@itdprintsolutions.com and stop overpaying for your ink and toner! #womanowned
#rhinotek
#savetherhino
#savemoney
#compatibletoner
#oemtoner
#inkjet
#jumbotoner
#printercartridge
#itdprintsolutions
#costperpage
#printquality
#ITD",,"What's your cost-per-page?  Email us today at sales@itdprintsolutions.com and stop overpaying for your ink and toner! #womanowned
#rhinotek
#savetherhino
#savemoney
#compatibletoner
#oemtoner
#inkjet
#jumbotoner
#printercartridge
#itdprintsolutions
#costperpage
#printquality
#ITD",,,
RhinoBoyChris,@RhinoBoyChris1,2019-08-08T10:21:52.000Z,"Huge Thanks to 
@leedsrhinos
 for letting Rhino Boy Chris join the team during training today. Massive honour and privilege to have all the Rhinos together! #savetherhino","uk.virginmoney.com
Virgin Money Giving
After 12 years of supporting charities and fundraisers, over £1billion raised, Virgin Money Giving closed in November 2021.","Huge Thanks to 
@leedsrhinos
 for letting Rhino Boy Chris join the team during training today. Massive honour and privilege to have all the Rhinos together! #savetherhinouk.virginmoney.com
Virgin Money Giving
After 12 years of supporting charities and fundraisers, over £1billion raised, Virgin Money Giving closed in November 2021.",,1.0,1
ITD Print Solutions,@itd_print,2019-08-07T19:24:48.000Z,"The highest quality ink and toner matched with award-winning customer service!  Email us today and start saving! sales@itdprintsolutions.com #womanowned
#rhinotek
#savetherhino
#savemoney
#compatibletoner
#oemtoner
#inkjet
#jumbotoner
#printercartridge
#itdprintsolutions
#rhino",,"The highest quality ink and toner matched with award-winning customer service!  Email us today and start saving! sales@itdprintsolutions.com #womanowned
#rhinotek
#savetherhino
#savemoney
#compatibletoner
#oemtoner
#inkjet
#jumbotoner
#printercartridge
#itdprintsolutions
#rhino",,,
Masato Jones,@masato_jones,2019-08-07T16:12:39.000Z,"Moss Grey Rhino dye tshirt: https://masato.co.uk/products/moss-grey-tie-dye-rhino-tee#.XUr4Vaqxrl4.twitter… 

Last few of the 2017 design £10 was £28 buy while you can #savetherhino","2
2","Moss Grey Rhino dye tshirt: https://masato.co.uk/products/moss-grey-tie-dye-rhino-tee#.XUr4Vaqxrl4.twitter… 

Last few of the 2017 design £10 was £28 buy while you can #savetherhino2
2",,2.0,2
Jana Genth,@JanaGenth,2019-08-07T14:19:24.000Z,"„Es ist eine Botschaft an Kriminelle“ - so reagiert #SANParks, die viele #Nationalparks in #Südafrika verwalten, auf das Urteil in #Mhala. 37 Jahre Haft für das Töten einer #Nashorn-Mutter und Ihres Babies.
@SANParks
, #SaveTheRhino, #StopPoaching, #WorthMoreAlive, #Wilderei","Quote Tweet
CITES
@CITES
·
Aug 6, 2019
South Africa: Poacher gets 37 years for killing mom & baby #rhino; convicted on 8 poaching & firearm-related charges in the Mhala Regional Court http://bit.do/e3VKv via @Lowvelder

#EndPoaching #EndWildlifeTrafficking","„Es ist eine Botschaft an Kriminelle“ - so reagiert #SANParks, die viele #Nationalparks in #Südafrika verwalten, auf das Urteil in #Mhala. 37 Jahre Haft für das Töten einer #Nashorn-Mutter und Ihres Babies.
@SANParks
, #SaveTheRhino, #StopPoaching, #WorthMoreAlive, #WildereiQuote Tweet
CITES
@CITES
·
Aug 6, 2019
South Africa: Poacher gets 37 years for killing mom & baby #rhino; convicted on 8 poaching & firearm-related charges in the Mhala Regional Court http://bit.do/e3VKv via @Lowvelder

#EndPoaching #EndWildlifeTrafficking",,2.0,4
Matt Leary,@KingSlayer33,2019-08-05T22:51:37.000Z,"Replying to 
@lyonsybrily",#SavetheRhino,"Replying to 
@lyonsybrily#SavetheRhino",1.0,,1
S.P.O.T.S,@SPOTS42743819,2019-08-05T19:35:00.000Z,"SOUTHERN WHITE RHINO BORN AT US ZOO, COULD HELP SAVE SPECIES - https://ewn.co.za/2019/07/31/southern-white-rhino-born-at-us-zoo-could-help-save-species… #savetherhino","2
3","SOUTHERN WHITE RHINO BORN AT US ZOO, COULD HELP SAVE SPECIES - https://ewn.co.za/2019/07/31/southern-white-rhino-born-at-us-zoo-could-help-save-species… #savetherhino2
3",,2.0,3
S.P.O.T.S,@SPOTS42743819,2019-08-05T19:05:00.000Z,Two rare white rhinos pregnant at Belgian zoo - https://m.news24.com/Green/News/two-rare-white-rhinos-pregnant-at-belgian-zoo-20190731… #savetherhino,"news24.com
Two rare white rhinos pregnant at Belgian zoo | News24
Two rare southern white rhinos have become pregnant at the same time at a zoo in Belgium, boosting efforts to save the endangered species.","Two rare white rhinos pregnant at Belgian zoo - https://m.news24.com/Green/News/two-rare-white-rhinos-pregnant-at-belgian-zoo-20190731… #savetherhinonews24.com
Two rare white rhinos pregnant at Belgian zoo | News24
Two rare southern white rhinos have become pregnant at the same time at a zoo in Belgium, boosting efforts to save the endangered species.",,1.0,2
S.P.O.T.S,@SPOTS42743819,2019-08-05T18:40:00.000Z,South African anti-poaching technology to go global - https://techcentral.co.za/south-african-anti-poaching-technology-to-go-global/89006/…  #savetherhino,"techcentral.co.za
South African anti-poaching technology to go global
Technology that has dramatically reduced rhino poaching in a South African game reserve could be used to help other threatened species across the world.","South African anti-poaching technology to go global - https://techcentral.co.za/south-african-anti-poaching-technology-to-go-global/89006/…  #savetherhinotechcentral.co.za
South African anti-poaching technology to go global
Technology that has dramatically reduced rhino poaching in a South African game reserve could be used to help other threatened species across the world.",,6.0,6
S.P.O.T.S,@SPOTS42743819,2019-08-05T18:20:00.000Z,Dehorning the Rhino; an operation to discourage poachers by removing a rhino calf’s horn serves as a stark reminder of the protections that need to stay in place for these imperiled species. - https://therevelator.org/dehorning-rhino/… #savetherhino,"2
2","Dehorning the Rhino; an operation to discourage poachers by removing a rhino calf’s horn serves as a stark reminder of the protections that need to stay in place for these imperiled species. - https://therevelator.org/dehorning-rhino/… #savetherhino2
2",,2.0,2
ITD Print Solutions,@itd_print,2019-08-05T17:47:13.000Z,"Are you ready to start saving on your printer ink and toner?  Email us today!  sales@itdprintsolutions.com #womanowned
#rhinotek
#savetherhino
#savemoney
#compatibletoner
#oemtoner
#inkjet
#jumbotoner
#printercartridge
#itdprintsolutions
#costperpage
#printquality
#quality",,"Are you ready to start saving on your printer ink and toner?  Email us today!  sales@itdprintsolutions.com #womanowned
#rhinotek
#savetherhino
#savemoney
#compatibletoner
#oemtoner
#inkjet
#jumbotoner
#printercartridge
#itdprintsolutions
#costperpage
#printquality
#quality",,,
CharlotteFortuneLimo,@cafortune,2019-08-05T14:17:48.000Z,"Thanks savetherhinointernational for snapping these pix  , Aria loves Rhinos already #charity #savetherhino  https://instagram.com/p/B0yQ0d4h6w7/?igshid=iuf3d60cq3nn…",,"Thanks savetherhinointernational for snapping these pix  , Aria loves Rhinos already #charity #savetherhino  https://instagram.com/p/B0yQ0d4h6w7/?igshid=iuf3d60cq3nn…",,,
Beyond the Ultimate,@UltimateUpdates,2019-08-05T10:56:54.000Z,"The latest #EverythingEndurance podcast is OUT NOW!
Hear all about the amazing #ForRangersUltra - a 5-day ultra race through open wildlife reserves in #Kenya, held in support of 
@savetherhino
 and 
@ForRangers
 
#savetherhino #forrangers #conservation
http://bit.ly/EE18_FRU1",,"The latest #EverythingEndurance podcast is OUT NOW!
Hear all about the amazing #ForRangersUltra - a 5-day ultra race through open wildlife reserves in #Kenya, held in support of 
@savetherhino
 and 
@ForRangers
 
#savetherhino #forrangers #conservation
http://bit.ly/EE18_FRU1",1.0,2.0,8
S.P.O.T.S,@SPOTS42743819,2019-08-03T19:25:00.000Z,Facts About Rhinos - https://livescience.com/27439-rhinos.html… #savetherhino #poaching #conservation,"4
3","Facts About Rhinos - https://livescience.com/27439-rhinos.html… #savetherhino #poaching #conservation4
3",,4.0,3
Stompie's Adventures,@StompieTheRhino,2019-08-01T05:04:26.000Z,5 years of adventures already! Amazing what I have seen so far and all the buddies I have met. Thank you all for the support #againstpoaching #savetherhino #stompiesadventures,,5 years of adventures already! Amazing what I have seen so far and all the buddies I have met. Thank you all for the support #againstpoaching #savetherhino #stompiesadventures,,,
